dataMatrix	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35
M19	6.906974347	7.124191808	6.704937856	7.174418854	6.71010188	6.941265019	7.364603116	7.167275753	7.197503405	7.566165698	7.418837773	7.02175722	7.092558181	7.306502272	6.618673578	6.241720164	6.767431799	7.047362346	6.557913775	6.656889293	6.844769352	6.716943324	6.639060614	6.657486535	6.083605597	6.197142976	6.232712188	6.323578216	6.56256822	6.846005462	7.175258621	6.296494708	6.592070044	6.458553871	6.785586739
M20	6.989183217	6.817176408	6.86691524	6.948862302	6.735980392	6.783034372	7.046668423	7.099956034	7.115813111	7.197099148	6.959793558	7.214346878	7.078042814	6.951125257	6.982065087	7.482400547	7.279864614	7.20882577	7.306877836	6.536404194	6.969192781	7.451364466	7.232631079	7.163047406	7.476350742	7.523954677	7.493914225	6.385759896	6.418267155	6.871916121	6.927851817	6.788502889	6.29701785	6.624832619	6.837709327
M21	5.527220319	5.311019103	5.519882614	5.623934586	5.527186092	5.319909428	5.624962984	5.54387323	5.618732801	5.92544649	5.570268903	5.895715187	5.985172463	5.487435079	5.709418537	6.450085326	6.121213609	6.183318485	6.175401544	5.403531248	5.653015909	6.380783074	6.156380969	6.011838879	6.402386829	6.270935828	6.483325971	5.262245118	5.183173822	5.529850136	5.678767169	5.513649183	5.381167147	5.148042583	5.617032604
M22	5.527220319	5.311019103	5.519882614	5.623934586	5.527186092	5.319909428	5.624962984	5.54387323	5.618732801	5.92544649	5.570268903	5.895715187	5.985172463	5.487435079	5.709418537	6.450085326	6.121213609	6.183318485	6.175401544	5.403531248	5.653015909	6.380783074	6.156380969	6.011838879	6.402386829	6.270935828	6.483325971	5.262245118	5.183173822	5.529850136	5.678767169	5.513649183	5.381167147	5.148042583	5.617032604
M23	6.154132418	6.438587858	6.479794419	6.343659012	5.80310986	6.080684951	6.982017365	6.556741707	6.651560909	6.755545182	6.227870738	6.545093954	6.513927734	6.113100624	6.294292057	6.948684413	6.66744669	6.913501824	6.5986446	6.030166209	6.017831594	6.764094255	6.510712951	6.336780663	6.722913367	6.445141089	6.981375749	5.571464928	5.527844478	6.077789912	6.501140731	5.914083798	5.658155082	6.207969783	5.99502688
M24	6.170609853	6.370778021	5.92119355	6.234377524	6.059842989	6.552510021	6.536857639	6.695232914	6.727475994	7.048702379	6.353656841	6.517574848	6.18587822	5.957491607	5.99155699	6.936283692	6.577642818	6.63036673	6.572537016	5.60259372	5.972567894	6.715357211	6.336048185	6.353930812	6.498399311	6.636311246	6.788009824	5.716160155	5.906518892	6.109518809	5.98527226	5.584223992	5.510777344	6.306997401	5.96411326
M25	6.789089034	6.665246814	6.496589624	6.776394601	6.709272814	6.779946287	6.934761416	6.79338388	6.875610262	7.203519466	6.811323397	6.742662393	6.718674455	6.642656036	6.260863785	7.198640442	6.916059989	6.835914722	6.779489993	6.47314965	6.72752148	7.071190002	6.503448464	6.839795656	7.103549253	6.887533209	7.15084205	6.484450307	6.600256906	6.717746803	6.665205829	6.327466527	6.480458787	6.510407357	6.549655071
M26	6.789089034	6.665246814	6.496589624	6.776394601	6.709272814	6.779946287	6.934761416	6.79338388	6.875610262	7.203519466	6.811323397	6.742662393	6.718674455	6.642656036	6.260863785	7.198640442	6.916059989	6.835914722	6.779489993	6.47314965	6.72752148	7.071190002	6.503448464	6.839795656	7.103549253	6.887533209	7.15084205	6.484450307	6.600256906	6.717746803	6.665205829	6.327466527	6.480458787	6.510407357	6.549655071
M27	7.63682486	7.386795283	7.404027596	7.682279575	7.746982862	7.526650692	7.721757748	7.503737274	7.595836438	7.666636285	7.536099044	7.361307749	7.511891395	7.486528394	7.197212569	7.735806509	7.517510059	7.077576492	7.418715926	7.377439295	7.601857621	7.563324478	7.403362899	7.537508537	8.01639439	7.592919634	7.704156781	7.292141816	7.4226494	7.471172756	7.577688608	7.446053588	7.17071108	7.30655658	7.567696257
M28	6.364862407	6.168427253	6.236391014	6.498671009	6.546031843	6.35879964	6.442376595	6.109315678	6.265650683	6.260540493	6.113416955	5.875856706	6.231638269	6.09607643	5.874936947	6.133967307	6.10928761	5.787797058	5.969609258	6.074573203	6.300452762	6.266163465	6.16667413	6.255035901	6.84377324	6.15680176	6.26118162	6.037200813	6.156137781	6.366269559	6.226793477	6.272794156	6.10339258	6.082664706	6.39288846
